 #(1), T(2), Hm(3), mag(4), magsr1(5), magsr2(6),   magsr3(7), magsr4(8), maghp(9), chi(10), chi0(11), ENERP(12),     CV(13), EnthalpyNN(14), EwEnthalpy(15),                            NMonop(-1,1)(16), NMonop(1,1)(17), Numontot(18), Ul(19)
  25  2.5000    0.2640     0.4030     0.6986    -0.7002    -0.6954     0.6980     0.4030279     0.0002079     0.0651805    -2.5356164     5.2366753    -0.9623180    -1.8209276     0.1283398     0.0607780     0.2657292     0.6624303
  26  2.5000    0.2750     0.4197     0.7258    -0.7261    -0.7279     0.7279     0.4197000     0.0002153     0.0706745    -2.6039054     5.6323137    -0.9663685    -1.8286414     0.1246615     0.0598665     0.2584961     0.6626601
  27  2.5000    0.2860     0.4347     0.7536    -0.7519    -0.7529     0.7530     0.4346656     0.0002211     0.0757948    -2.6735322     6.3718213    -0.9722726    -1.8385076     0.1208268     0.0580566     0.2477865     0.6628101
  28  2.5000    0.2970     0.4506     0.7803    -0.7813    -0.7797     0.7808     0.4506348     0.0001916     0.0814203    -2.7498045     6.4053314    -0.9800194    -1.8508057     0.1141797     0.0555111     0.2340299     0.6635557
  29  2.5000    0.3080     0.4643     0.8057    -0.8030    -0.8052     0.8025     0.4642586     0.0001829     0.0863973    -2.8214336     6.3831623    -0.9860825    -1.8609530     0.1091081     0.0541569     0.2230273     0.6638562
  30  2.5000    0.3190     0.4769     0.8273    -0.8250    -0.8259     0.8260     0.4769097     0.0001681     0.0911453    -2.9105916     8.4476489    -0.9928249    -1.8884867     0.1039290     0.0501758     0.2108854     0.6642204
  31  2.5000    0.3300     0.4880     0.8463    -0.8441    -0.8460     0.8442     0.4879653     0.0001503     0.0953943    -2.9638630     6.7714998    -0.9986857    -1.8822279     0.0987500     0.0489193     0.2003320     0.6645904
  32  2.5000    0.3410     0.4999     0.8731    -0.8636    -0.8631     0.8635     0.4998788     0.0001314     0.1000829    -3.0483503     6.1403685    -1.0053485    -1.9033727     0.0931152     0.0460970     0.1884245     0.6649302
  33  2.5000    0.3520     0.5072     0.8810    -0.8785    -0.8774     0.8774     0.5072347     0.0001119     0.1030267    -3.1066392     5.7260298    -1.0105950    -1.9068806     0.0881283     0.0440202     0.1789518     0.6652371
  34  2.5000    0.3630     0.5155     0.8934    -0.8928    -0.8923     0.8927     0.5154524     0.0001008     0.1063773    -3.1734760     5.9865586    -1.0171784    -1.9165789     0.0829590     0.0405632     0.1671094     0.6654153
  35  2.5000    0.3740     0.5228     0.9037    -0.9060    -0.9057     0.9065     0.5227707     0.0000819     0.1093976    -3.2396784     5.4391624    -1.0230825    -1.9263878     0.0768978     0.0380794     0.1565299     0.6656792
  36  2.5000    0.3850     0.5277     0.9140    -0.9140    -0.9135     0.9146     0.5277032     0.0000762     0.1114645    -3.2990487     5.6079323    -1.0272342    -1.9343764     0.0744727     0.0362174     0.1490169     0.6657647
